조사연도,응답자ID,응답자키
2021,10171003,P21-001300
2021,10171004,P21-007692
2021,10171005,P21-002923
2021,10171006,P21-002695
2021,10171007,P21-009165
2021,10171008,P21-008223
2021,10171009,P21-005079
2021,10171010,P21-001520
2021,10171011,P21-007672
2021,10171012,P21-001812
2021,10171013,P21-001493
2021,10171014,P21-000448
2021,10171015,P21-005912
2021,10171016,P21-008934
2021,10171017,P21-005852
2021,10171018,P21-005978
2021,10171019,P21-008593
2021,10171020,P21-007046
2021,10171021,P21-006592
2021,10171022,P21-001999
2021,10171023,P21-006285
2021,10171024,P21-008757
2021,10171025,P21-001170
2021,10171026,P21-008211
2021,10191001,P21-000150
2021,10191002,P21-001386
2021,10191003,P21-007747
2021,10191004,P21-007057
2021,10191005,P21-002018
2021,10191006,P21-008800
2021,10191007,P21-007266
2021,10191008,P21-001425
2021,10191009,P21-005634
2021,10191010,P21-006897
2021,10191011,P21-006902
2021,10191012,P21-007585
2021,10191013,P21-006349
2021,10191014,P21-006862
2021,10191015,P21-009303
2021,10191016,P21-002635
2021,10191017,P21-001055
2021,10191018,P21-009343
2021,10191019,P21-001453
2021,10191020,P21-003998
2021,10191021,P21-008011
2021,10191022,P21-002185
2021,10191023,P21-001500
2021,10191024,P21-003986
2021,10191025,P21-002735
2021,10191026,P21-007673
2021,10191027,P21-005067
2021,10191028,P21-005766
2021,10191029,P21-001242
2021,10191030,P21-005105
2021,10191031,P21-008237
2021,10191032,P21-001882
2021,10191033,P21-000807
2021,10191034,P21-004333
2021,10191035,P21-000038
2021,10191036,P21-004663
2021,10191037,P21-001084
2021,10191038,P21-000950
2021,10191039,P21-007450
2021,10191040,P21-007796
2021,10191041,P21-001700
2021,10191042,P21-007867
2021,10191043,P21-007093
2021,10191044,P21-005815
2021,10201001,P21-006740
2021,10201002,P21-005203
2021,10201003,P21-003164
2021,10201004,P21-002884
2021,10201005,P21-000210
2021,10201006,P21-008896
2021,10201007,P21-003205
2021,10201008,P21-007467
2021,10201009,P21-002614
2021,10201010,P21-007033
2021,10201011,P21-001910
2021,10201012,P21-004689
2021,10201013,P21-003760
2021,10201014,P21-003291
2021,10201015,P21-000826
2021,10201016,P21-009349
2021,10201017,P21-008919
2021,10201018,P21-007664
2021,10201019,P21-003053
2021,10201020,P21-003186
2021,10201021,P21-006877
2021,10201022,P21-009102
2021,10201023,P21-005274
2021,10201024,P21-005976
2021,10201025,P21-008416
2021,10201026,P21-008308
2021,10201027,P21-007874
2021,10201028,P21-006405
2021,10201029,P21-004158
2021,10201030,P21-001597
2021,10201031,P21-000282
2021,10201032,P21-003132
2021,10201033,P21-009306
2021,10201034,P21-002155
2021,10201035,P21-007755
2021,10201036,P21-006963
2021,10201037,P21-003211
2021,10201038,P21-008918
2021,10201039,P21-002586
2021,10201040,P21-004534
2021,10201041,P21-006188
2021,10201042,P21-007680
2021,10201043,P21-004798
2021,10201044,P21-008595
2021,10201045,P21-001786
2021,10201046,P21-006569
2021,10201047,P21-005966
2021,10201048,P21-003618
2021,10201049,P21-004671
2021,10201050,P21-006504
2021,10201051,P21-001632
2021,10201052,P21-003283
2021,10211001,P21-005598
2021,10211002,P21-003655
2021,10211003,P21-002330
2021,10211004,P21-000308
2021,10211005,P21-001372
2021,10211006,P21-000406
2021,10211007,P21-002384
2021,10211008,P21-008131
2021,10211009,P21-008781
2021,10211010,P21-004559
2021,10211011,P21-006956
2021,10211012,P21-000054
2021,10211013,P21-005526
2021,10211014,P21-008021
2021,10211015,P21-001916
2021,10211016,P21-005213
2021,10211017,P21-001733
2021,10211018,P21-002610
2021,10211019,P21-004532
2021,10211020,P21-002361
2021,10211021,P21-003246
2021,10211022,P21-004887
2021,10211023,P21-007310
2021,10211024,P21-002871
2021,10211025,P21-002563
2021,10211026,P21-004698
2021,10211027,P21-000634
2021,10211028,P21-005153
2021,10211029,P21-004467
2021,10211030,P21-005017
2021,10211031,P21-008657
2021,10211032,P21-003146
2021,10211033,P21-000507
2021,10211034,P21-004904
2021,10211035,P21-001704
2021,10211036,P21-001440
2021,10211037,P21-008629
2021,10211038,P21-006157
2021,10211039,P21-002473
2021,10211040,P21-001241
2021,10211041,P21-004254
2021,10211042,P21-004488
2021,10211043,P21-008254
2021,10211044,P21-006531
2021,10211045,P21-006612
2021,10211046,P21-003411
2021,10211047,P21-008311
2021,10211048,P21-006837
2021,10211049,P21-006625
2021,10211050,P21-005379
2021,10211051,P21-003994
2021,10211052,P21-009013
2021,10211053,P21-001835
2021,10211054,P21-008405
2021,10211055,P21-000521
2021,10211056,P21-004057
2021,10211057,P21-006212
2021,10211058,P21-000894
2021,10211059,P21-004880
2021,10211060,P21-006556
2021,10221001,P21-002453
2021,10221002,P21-000380
2021,10221003,P21-001452
2021,10221004,P21-006086
2021,10221005,P21-000027
2021,10221006,P21-002574
2021,10221007,P21-000523
2021,10221008,P21-003277
2021,10221009,P21-006788
2021,10221010,P21-007997
2021,10221011,P21-005021
2021,10221012,P21-005872
2021,10221013,P21-002511
2021,10221014,P21-009148
2021,10221015,P21-000460
2021,10221016,P21-003376
2021,10221017,P21-000636
2021,10221018,P21-002192
2021,10221019,P21-005888
2021,10221020,P21-002691
2021,10221021,P21-004687
2021,10221022,P21-001391
2021,10221023,P21-003660
2021,10221024,P21-000823
2021,10221025,P21-005454
2021,10221026,P21-002117
2021,10221027,P21-009172
2021,10221028,P21-001675
2021,10221029,P21-006006
2021,10221030,P21-005047
2021,10221031,P21-001090
2021,10221032,P21-008062
2021,10221033,P21-001172
2021,10221034,P21-008445
2021,10221035,P21-003537
2021,10221036,P21-000758
2021,10221037,P21-002459
2021,10221038,P21-002910
2021,10221039,P21-003225
2021,10221040,P21-003116
2021,10221041,P21-008868
2021,10221042,P21-000699
2021,10221043,P21-002873
2021,10221044,P21-004354
2021,10221045,P21-005215
2021,10221046,P21-001223
2021,10221047,P21-002966
2021,10221048,P21-001568
2021,10221049,P21-004201
2021,10221050,P21-007506
2021,10221051,P21-000860
2021,10221052,P21-005401
2021,10221053,P21-002364
2021,10221054,P21-009333
2021,10221055,P21-002214
2021,10231001,P21-003648
2021,10231002,P21-009407
2021,10231003,P21-007632
2021,10231004,P21-003600
2021,10231005,P21-005456
2021,10231006,P21-002108
2021,10231007,P21-008273
2021,10231008,P21-004514
2021,10231009,P21-001355
2021,10231010,P21-006907
2021,10231011,P21-001263
2021,10231012,P21-008184
2021,10231013,P21-000441
2021,10231014,P21-000188
2021,10231015,P21-005051
2021,10231016,P21-000481
2021,10231017,P21-006292
2021,10231018,P21-008650
2021,10231019,P21-006110
2021,10231020,P21-004446
2021,10231021,P21-007904
2021,10231022,P21-000018
2021,10231023,P21-005338
2021,10231024,P21-002025
2021,10231025,P21-006138
2021,10231026,P21-007414
2021,10231027,P21-004039
2021,10231028,P21-001128
2021,10231029,P21-006522
2021,10231030,P21-005032
2021,10231031,P21-005299
2021,10231032,P21-005627
2021,10231033,P21-005907
2021,10231034,P21-000853
2021,10231035,P21-008513
2021,10231036,P21-008523
2021,10231037,P21-003235
2021,10231038,P21-004106
2021,10231039,P21-008953
2021,10231040,P21-004643
2021,10231041,P21-004119
2021,10231042,P21-007156
2021,10231043,P21-004961
2021,10231044,P21-005579
2021,10231045,P21-004551
2021,10231046,P21-003861
2021,10231047,P21-008975
2021,10231048,P21-001447
2021,10231049,P21-000010
2021,10231050,P21-000044
2021,10231051,P21-008951
2021,10231052,P21-004726
2021,10231053,P21-003308
2021,10231054,P21-002634
2021,10231055,P21-005463
2021,10231056,P21-003980
2021,10231057,P21-006166
