조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드,분모학생수
2021,학부모,10111038,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111040,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111041,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111042,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111043,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111044,1011,PR_EDU_COST_01,2.0,,1.0,
2021,학부모,10111045,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111046,1011,PR_EDU_COST_01,2.0,,1.0,
2021,학부모,10111047,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111048,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111050,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111051,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111052,1011,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10111053,1011,PR_EDU_COST_01,5.0,,1.0,
2021,학부모,10111054,1011,PR_EDU_COST_01,3.0,,1.0,
2021,학부모,10111055,1011,PR_EDU_COST_01,3.0,,1.0,
2021,학부모,10121002,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121003,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121004,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121005,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121006,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121007,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121008,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121009,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121010,1012,PR_EDU_COST_01,10.0,,2.0,
2021,학부모,10121012,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121013,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121014,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121015,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121017,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121018,1012,PR_EDU_COST_01,1.0,,2.0,
2021,학부모,10121019,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121020,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121021,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121022,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121023,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121024,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121025,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121026,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121027,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121028,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121029,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121030,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121031,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121032,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121033,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121034,1012,PR_EDU_COST_01,1.0,,2.0,
2021,학부모,10121035,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121036,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121037,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121038,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121039,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121040,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121041,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121042,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121043,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121044,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121045,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121046,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121047,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121048,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121049,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121050,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121051,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121052,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121053,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10121054,1012,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10131001,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131002,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131003,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131004,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131005,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131006,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131007,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131008,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131009,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131010,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131011,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131012,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131013,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131014,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131015,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131016,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131017,1013,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10131018,1013,PR_EDU_COST_01,0.0,,1.0,
