조사연도,학교키,지역규모코드,설립구분코드,남녀공학코드,지역규모,설립구분,남녀공학,학생응답,학부모응답,교사응답
2025,SCH070,1.0,1.0,1.0,중소도시,공립,남학교,Y,N,Y
2025,SCH166,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH092,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH033,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH116,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2025,SCH034,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH161,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH082,2.0,1.0,3.0,읍면지역,공립,남여공학,N,N,N
2025,SCH085,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH047,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH111,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH128,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH145,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH080,2.0,1.0,3.0,읍면지역,공립,남여공학,N,N,Y
2025,SCH119,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH007,1.0,2.0,3.0,중소도시,사립,남여공학,N,N,N
2025,SCH138,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,N
2025,SCH076,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2025,SCH124,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH037,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH094,1.0,1.0,3.0,중소도시,공립,남여공학,N,Y,Y
2025,SCH011,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,Y
2025,SCH103,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH147,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2025,SCH122,2.0,2.0,3.0,읍면지역,사립,남여공학,N,N,Y
2025,SCH041,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH089,2.0,1.0,3.0,읍면지역,공립,남여공학,N,Y,Y
2025,SCH027,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH129,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH018,1.0,1.0,3.0,중소도시,공립,남여공학,N,Y,Y
2025,SCH059,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2025,SCH014,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,Y
2025,SCH078,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH163,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH091,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,Y
2025,SCH005,1.0,2.0,2.0,중소도시,사립,여학교,Y,Y,Y
2025,SCH071,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH044,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH125,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH105,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH176,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH021,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH095,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH148,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y
2025,SCH135,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH084,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH039,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,N,Y
2025,SCH175,2.0,2.0,3.0,읍면지역,사립,남여공학,N,Y,N
2025,SCH133,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH158,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y
2025,SCH142,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2025,SCH001,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH118,2.0,1.0,3.0,읍면지역,공립,남여공학,N,N,Y
2025,SCH086,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH140,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH132,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH048,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2025,SCH160,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH149,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH141,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,N
2025,SCH045,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH068,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,Y
2025,SCH035,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH069,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH156,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,N,Y
2025,SCH081,2.0,2.0,3.0,읍면지역,사립,남여공학,N,N,Y
2025,SCH056,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH058,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH155,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH104,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,Y
2025,SCH174,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH075,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y
2025,SCH025,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH072,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH126,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,N,Y
2025,SCH137,1.0,1.0,3.0,중소도시,공립,남여공학,Y,N,Y
2025,SCH012,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH083,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH180,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2025,SCH042,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH087,1.0,1.0,3.0,중소도시,공립,남여공학,N,N,N
2025,SCH055,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2025,SCH026,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2025,SCH143,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
